Date,Open Price,High Price,Low Price,Close Price,Traded Value^,No. Of Trades,Traded Quantity
27-11-2017,"2,688.00","2,695.90","2,662.20","2,685.85",248.68,40042,928393
24-11-2017,"2,682.00","2,702.90","2,673.10","2,688.05",307.47,47991,1143756
23-11-2017,"2,681.00","2,693.00","2,669.00","2,681.25",106.49,31522,396735
22-11-2017,"2,673.00","2,709.70","2,672.40","2,680.65",245.22,67085,911312
21-11-2017,"2,701.00","2,701.00","2,666.00","2,672.95",204.60,38552,763870
20-11-2017,"2,715.00","2,726.90","2,695.30","2,703.45",137.46,27013,507249
17-11-2017,"2,748.10","2,748.10","2,703.60","2,707.30",180.26,34043,662732
16-11-2017,"2,710.00","2,763.00","2,686.95","2,746.65",226.03,45075,826741
15-11-2017,"2,706.00","2,755.00","2,701.35","2,705.30",912.81,47448,3335417
14-11-2017,"2,756.55","2,756.55","2,707.50","2,714.60",225.27,50733,828626
13-11-2017,"2,702.05","2,777.40","2,702.05","2,758.95",206.38,44504,748498
10-11-2017,"2,722.20","2,726.00","2,693.35","2,708.75",183.60,22485,678283
09-11-2017,"2,750.00","2,750.00","2,719.30","2,736.40",157.45,27786,576216
08-11-2017,"2,723.00","2,759.00","2,718.25","2,735.00",192.19,48744,701126
07-11-2017,"2,670.00","2,768.00","2,666.05","2,710.05",366.57,61294,1348446
06-11-2017,"2,620.00","2,671.80","2,611.75","2,665.55",181.88,61866,688500
03-11-2017,"2,632.40","2,636.70","2,602.80","2,620.10",87.35,29606,333443
02-11-2017,"2,608.50","2,674.00","2,606.75","2,626.15",193.82,29980,734211
01-11-2017,"2,624.00","2,626.85","2,578.85","2,602.85",96.22,28138,370941
31-10-2017,"2,601.30","2,640.00","2,601.30","2,624.00",209.26,45128,796317
30-10-2017,"2,586.00","2,620.00","2,581.70","2,616.20",148.23,21542,568626
27-10-2017,"2,538.00","2,593.15","2,530.30","2,584.30",180.91,34346,704635
26-10-2017,"2,535.10","2,569.15","2,517.90","2,538.85",382.13,52192,1503776
25-10-2017,"2,578.50","2,614.00","2,555.00","2,559.90",142.60,38719,552553
24-10-2017,"2,620.00","2,620.90","2,569.05","2,578.40",172.81,44454,669510
23-10-2017,"2,584.00","2,629.00","2,547.45","2,587.90",245.10,58735,943044
19-10-2017,"2,592.00","2,595.80","2,571.00","2,583.90",11.21,2351,43411
18-10-2017,"2,595.00","2,613.65","2,580.00","2,586.60",195.95,27424,757072
17-10-2017,"2,585.00","2,614.95","2,577.55","2,594.55",187.47,33284,721508
16-10-2017,"2,555.05","2,590.00","2,555.05","2,584.40",157.07,50285,609295
13-10-2017,"2,548.20","2,608.95","2,523.00","2,558.60",520.93,83968,2033160
12-10-2017,"2,513.00","2,555.00","2,507.00","2,548.20",633.17,55773,2503178
11-10-2017,"2,460.00","2,514.45","2,456.75","2,500.35",190.54,39551,763873
10-10-2017,"2,455.00","2,469.95","2,451.25","2,459.25",150.29,32806,611005
09-10-2017,"2,441.05","2,467.95","2,441.05","2,454.10",217.95,30973,886808
06-10-2017,"2,430.00","2,455.00","2,428.05","2,446.65",169.72,31692,694594
05-10-2017,"2,441.00","2,443.45","2,424.40","2,429.60",205.11,21566,842343
04-10-2017,"2,449.60","2,454.00","2,425.00","2,442.30",158.73,31490,650389
03-10-2017,"2,440.00","2,454.30","2,427.05","2,448.45",234.69,57917,961503
29-09-2017,"2,479.00","2,484.00","2,421.50","2,435.95",243.70,60239,992507
28-09-2017,"2,494.70","2,514.00","2,452.00","2,476.45",537.38,89294,2166433
27-09-2017,"2,490.00","2,512.20","2,473.75","2,495.00",250.86,37197,1005178
26-09-2017,"2,510.00","2,526.40","2,466.00","2,474.65",180.12,30740,724615
25-09-2017,"2,496.55","2,534.00","2,492.75","2,510.75",201.15,50797,799779
